STT,Mã CK▲,Tên công ty,Ngành,Sàn,Khối lượng NY/ĐKGD,link
1,A32,CTCP 32,Sản xuất các sản phẩm da và liên quan,UPCoM,6800000,https://finance.vietstock.vn/A32-ctcp-32.htm
2,AAA,CTCP Nhựa An Phát Xanh,Sản xuất các sản phẩm nhựa và cao su,HOSE,326434496,https://finance.vietstock.vn/AAA-ctcp-nhua-an-phat-xanh.htm
3,AAM,CTCP Thủy sản MeKong,Sản xuất thực phẩm,HOSE,12346411,https://finance.vietstock.vn/AAM-ctcp-thuy-san-mekong.htm
4,AAS,CTCP Chứng khoán SmartInvest,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",UPCoM,31000000,https://finance.vietstock.vn/AAS-ctcp-chung-khoan-smartinvest.htm
5,AAT,CTCP Tiên Sơn Thanh Hóa,Bán buôn hàng tiêu dùng,HOSE,63801489,https://finance.vietstock.vn/AAT-ctcp-tien-son-thanh-hoa.htm
6,AAV,CTCP Việt Tiên Sơn Địa ốc,Bán buôn hàng tiêu dùng,HNX,36656180,https://finance.vietstock.vn/AAV-ctcp-viet-tien-son-dia-oc.htm
7,ABB,Ngân hàng TMCP An Bình,Trung gian tín dụng và các hoạt động liên quan,UPCoM,940947082,https://finance.vietstock.vn/ABB-ngan-hang-tmcp-an-binh.htm
8,ABC,CTCP Truyền thông VMG,Viễn thông,UPCoM,20393000,https://finance.vietstock.vn/ABC-ctcp-truyen-thong-vmg.htm
9,ABI,CTCP Bảo hiểm Ngân hàng Nông nghiệp Việt Nam,Bảo hiểm và các hoạt động liên quan,UPCoM,43157815,https://finance.vietstock.vn/ABI-ctcp-bao-hiem-ngan-hang-nong-nghiep-viet-nam.htm
10,ABR,CTCP Đầu tư Nhãn hiệu Việt,Bán buôn hàng tiêu dùng,HOSE,20000000,https://finance.vietstock.vn/ABR-ctcp-dau-tu-nhan-hieu-viet.htm
11,ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,Bán buôn hàng tiêu dùng,HOSE,80000000,https://finance.vietstock.vn/ABS-ctcp-dich-vu-nong-nghiep-binh-thuan.htm
12,ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre,Sản xuất thực phẩm,HOSE,14107207,https://finance.vietstock.vn/ABT-ctcp-xuat-nhap-khau-thuy-san-ben-tre.htm
13,ACB,Ngân hàng TMCP Á Châu,Trung gian tín dụng và các hoạt động liên quan,HOSE,2701948075,https://finance.vietstock.vn/ACB-ngan-hang-tmcp-a-chau.htm
