Keys,Values
Tên TCPH:,"
Công ty cổ phần Nhựa An Phát Xanh
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Nhựa An Phát Xanh
Mã chứng khoán:,AAA
Mã ISIN:,VN000000AAA4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 158/2010/GCNCP-VSD do VSD cấp lần đầu ngày 08/07/2010, Số: 158/2010/GCNCP-VSD-15 do VSD cấp thay đổi lần thứ 15 ngày 28/09/2021"
Tổng số chứng khoán đăng ký:,326.434.496 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,3.264.344.960.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
