Keys,Values
Tên TCPH:,"
Công ty cổ phần Chứng khoán SmartInvest
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Chứng khoán SmartInvest
Mã chứng khoán:,AAS
Mã ISIN:,VN000000AAS6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 44/2020/GCNCP-VSD do VSD cấp ngày 30/06/2020;  số 44/2020/GCNCP-VSD-1 cấp thay đổi lần 01 ngày 17/08/2021
Tổng số chứng khoán đăng ký:,80.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,800.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
