Keys,Values
Tên TCPH:,"
Công ty cổ phần Tiên Sơn Thanh Hóa
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Tiên Sơn Thanh Hóa
Mã chứng khoán:,AAT
Mã ISIN:,VN000000AAT4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"số 15/2019/GCNCP-VSD do VSD cấp ngày 03/04/2019, số 15/2019/GCNCP-VSD-2 cấp thay đổi lần 2 ngày 13/01/2022"
Tổng số chứng khoán đăng ký:,63.801.489 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,638.014.890.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
