Keys,Values
Tên TCPH:,"
Công ty cổ phần Mĩ thuật và Truyền thông
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Mĩ thuật và Truyền thông
Mã chứng khoán:,ADC
Mã ISIN:,VN000000ADC4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 300/2010/GCNCP-VSD do VSD cấp lần đầu ngày 16/12/2010, Số 300/2010/GCNCP-VSD-4 do VSD cấp thay đổi lần 4 ngày 06/09/2021"
Tổng số chứng khoán đăng ký:,3.977.936 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,39.779.360.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
