Keys,Values
Tên TCPH:,"
Công ty cổ phần Môi trường Đô thị An Giang
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Môi trường Đô thị An Giang
Mã chứng khoán:,AGE
Mã ISIN:,VN000000AGE3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 10CPH/2019/GCNCP-VSD do VSD cấp ngày 30/05/2019, Số:  33/2019/GCNCP-VSD cấp thay đổi ngày 02/08/2019"
Tổng số chứng khoán đăng ký:,19.893.200 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,198.932.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
