Keys,Values
Tên TCPH:,"
Công ty cổ phần Khoáng sản Á Châu
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Khoáng sản Á Châu
Mã chứng khoán:,AMC
Mã ISIN:,VN000000AMC5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,Số 73/2011/GCNCP-VSD do Trung tâm Lưu ký Chứng khoán Việt Nam cấp lần đầu ngày 15/11/2011
Tổng số chứng khoán đăng ký:,2.850.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,28.500.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
