Keys,Values
Tên TCPH:,"
Công ty cổ phần Alphanam E&C
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Alphanam E&C
Mã chứng khoán:,AME
Mã ISIN:,VN000000AME1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"số 120/2010/GCNCP-VSD do TTLKCK Việt Nam cấp lần đầu ngày 19/05/2010, số 120/2010/GCNCP-VSD-3 cấp thay đổi lần thứ 3 ngày 27/06/2022"
Tổng số chứng khoán đăng ký:,65.200.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,652.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
