Keys,Values
Tên TCPH:,"
Công ty cổ phần Dinh dưỡng Nông nghiệp Quốc tế
"
Tên chứng khoán:,Trái phiếu ANCO09202102
Mã chứng khoán:,ANC11601
Mã ISIN:,VN0ANC116016
Loại chứng khoán:,Trái phiếu doanh nghiệp
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,số 107/2016/GCNTP-VSD do VSD cấp lần đầu ngày 12/12/2016
Tổng số chứng khoán đăng ký:,13.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,1.300.000.000.000 đồng
Hình thức phát hành:,Bảo lãnh phát hành
Lãi suất:,"+ Đối với 02 kỳ hạn 06 tháng đầu tiên từ ngày phát hành tính lãi: 	7,0%/năm
+ Đối với mỗi kỳ tính lãi sau 02 kỳ tính lãi đầu tiên: lãi suất bằng tổng của 1,5%/năm và lãi suất tham chiếu. Trong đó, lãi suất tham chiếu là trung bình cộng của các mức lãi suất tiền gửi tiết kiệm cá nhân (trả lãi sau) kỳ hạn 12 tháng (hoặc tương đương) bằng đồng Việt Nam do Ngân hàng TMCP Công thương Việt Nam - Chi nhánh 1 TP. Hồ Chí Minh, Ngân hàng TMCP Ngoại thương Việt Nam - Sở Giao dịch, Ngân hàng NN&PTNN Việt Nam - Sở Giao dịch, Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Sở Giao dịch 1 công bố vào ngày xác định lãi suất có liên quan."
Cách thức trả lãi:,"Lãi được trả sau, định kỳ vào ngày tròn 06 tháng từ ngày phát hành theo phương thức chuyển khoản"
Kỳ hạn:,05 năm
Ngày phát hành:,01/09/2016
Ngày đáo hạn:,01/09/2021
Nơi quản lý tại VSD:,Chi nhánh
