Keys,Values
Tên TCPH:,"
Công ty cổ phần Rau quả thực phẩm An Giang
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Rau quả thực phẩm An Giang
Mã chứng khoán:,ANT
Mã ISIN:,VN000000ANT7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 133/2016/GCNCP-VSD do VSD cấp lần đầu ngày 31/10/2016; Số 133/2016/GCNCP-VSD-1 cấp thay đổi lần 01 ngày 20/12/2021
Tổng số chứng khoán đăng ký:,8.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,80.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
