Keys,Values
Tên TCPH:,"
Công ty Cổ phần Chiếu xạ An Phú
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Chiếu xạ An Phú
Mã chứng khoán:,APC
Mã ISIN:,VN000000APC8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"số 15/2010/GCNCP-VSD-2 do VSD cấp ngày 22/01/2010, cấp thay đổi lần thứ 3 ngày 21/01/2020"
Tổng số chứng khoán đăng ký:,20.121.395 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,201.213.950.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
