Keys,Values
Tên TCPH:,"
CTCP Phát triển Phụ gia và Sản phẩm Dầu mỏ
"
Tên chứng khoán:,Cổ phiếu CTCP Phát triển Phụ gia và Sản phẩm Dầu mỏ
Mã chứng khoán:,APP
Mã ISIN:,VN000000APP0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 234/2010/GCNCP-VSD do VSD cấp lần đầu ngày 28/09/2010, Số 234/2010/GCNCP-VSD-6  thay đổi lần 6 ngày 10/10/2019"
Tổng số chứng khoán đăng ký:,4.724.632 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,47.246.320.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
