Keys,Values
Tên TCPH:,"
Công ty cổ phần ASA
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần ASA
Mã chứng khoán:,ASA
Mã ISIN:,VN000000ASA6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số  75/2011/GCNCP-VSD do VSD cấp lần đầu ngày 19/12/2011. Số 75/2011/GCNCP-VSD-3 cấp sửa đổi lần 3 ngày 26/07/2019
Tổng số chứng khoán đăng ký:,10.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,100.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
