Keys,Values
Tên TCPH:,"
Công ty Cổ phần Tập đoàn dầu khí An pha
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Tập đoàn Dầu khí An pha
Mã chứng khoán:,ASP
Mã ISIN:,VN000000ASP4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"số 17 /2008/GCNCP-VSD-4 do VSD cấp lần đầu ngày 24/01/2008, cấp thay đổi lần 4 ngày 24/10/2014"
Tổng số chứng khoán đăng ký:,37.339.929 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,373.399.290.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
