Keys,Values
Tên TCPH:,"
Công ty cổ phần 482
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần 482
Mã chứng khoán:,B82
Mã ISIN:,VN000000B822
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 17/2008/GCNCP-TTLK do VSD cấp lần đầu ngày 06/03/2008, Số 17/2008/GCNCP-VSD-2 cấp thay đổi lần 2 ngày 25/03/2016"
Tổng số chứng khoán đăng ký:,5.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,50.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
