Keys,Values
Tên TCPH:,"
Công ty cổ phần Bamboo Capital
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Bamboo Capital
Mã chứng khoán:,BCG
Mã ISIN:,VN000000BCG5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,41/2015/GCNCP-VSD do VSD cấp ngày 16/6/2015; số 41/2015/GCNCP-CNVSD-8 cấp thay đổi lần 08 ngày 04/05/2022
Tổng số chứng khoán đăng ký:,503.305.437 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,5.033.054.370.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
