Keys,Values
Tên TCPH:,"
Công ty cổ phần Khai thác và Chế biến Khoáng sản Bắc Giang
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Khai thác và Chế biến Khoáng sản Bắc Giang
Mã chứng khoán:,BGM
Mã ISIN:,VN000000BGM4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 33/2011/GCNCP-VSD do VSD cấp lần đầu ngày 13/05/2011, Số 33/2011/GCNCP-VSD-4 cấp thay đổi lần thứ 4 ngày 26/5/2015"
Tổng số chứng khoán đăng ký:,45.753.840 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,457.538.400.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
