Keys,Values
Tên TCPH:,"
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam
"
Tên chứng khoán:,Trái phiếu dài hạn đợt 2/2006 kỳ hạn 15 năm
Mã chứng khoán:,BID10306
Mã ISIN:,VN0BID103068
Loại chứng khoán:,Trái phiếu doanh nghiệp
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,
Tổng số chứng khoán đăng ký:,6.955.210 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,695.521.000.000 đồng
Hình thức phát hành:,Bảo lãnh
Lãi suất:,10.1%/năm
Cách thức trả lãi:,"Trả sau, định kỳ hàng năm"
Kỳ hạn:,15 năm
Ngày phát hành:,18/12/2006
Ngày đáo hạn:,18/12/2021
Nơi quản lý tại VSD:,Trụ sở chính
