Keys,Values
Tên TCPH:,"
Tổng Công ty Cổ phần Bảo Minh
"
Tên chứng khoán:,Cổ phiếu Tổng Công ty Cổ phần Bảo Minh
Mã chứng khoán:,BMI
Mã ISIN:,VN000000BMI0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"số 13/2006/GCNCP-TTLK do VSD cấp lần đầu ngày 23/11/2006, số 13/2006/GCNCP-VSD-4 cấp thay đổi lần 4 ngày 27/09/2021"
Tổng số chứng khoán đăng ký:,109.623.985 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,1.096.239.850.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
