Keys,Values
Tên TCPH:,"
Công ty cổ phần Cao su Bến Thành
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Cao su Bến Thành
Mã chứng khoán:,BRC
Mã ISIN:,VN000000BRC2
Loại chứng khoán:,cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 66/2011/GCNCP-VSD do TTLKCK Việt Nam cấp lần đầu ngày 06/10/2011, cấp thay đổi lần 1 ngày 04/12/2013"
Tổng số chứng khoán đăng ký:,12.374.997 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,123.749.970.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
