Keys,Values
Tên TCPH:,"
Công ty cổ phần Bia, Rượu Sài Gòn - Đồng Xuân
"
Tên chứng khoán:,"Cổ phiếu Công ty cổ phần Bia, Rượu Sài Gòn - Đồng Xuân"
Mã chứng khoán:,BSD
Mã ISIN:,VN000000BSD8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 20/2017/GCNCP-VSD do VSD cấp lần đầu ngày 13/01/2017
Tổng số chứng khoán đăng ký:,3.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,30.000.000.000 đồng
Hình thức đăng ký:, Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
