Keys,Values
Tên TCPH:,"
Công ty Cổ phần Chế tạo Biến thế và Vật liệu điện Hà nội
"
Tên chứng khoán:,Cổ phiếu CTCP Chế tạo Biến thế và Vật liệu điện Hà Nội
Mã chứng khoán:,BTH
Mã ISIN:,VN000000BTH7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 33/2007/GCNCP-TTLK do VSD cấp lần đầu ngày 21/12/2007. Số: 33/2007/GCNCP-VSD-2 cấp thay đổi lần 2 ngày 16/07/2018
Tổng số chứng khoán đăng ký:,25.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,250.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
