Keys,Values
Tên TCPH:,"
Công ty cổ phần Sản xuất & Thương mại Bắc Việt
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Sản xuất & Thương mại Bắc Việt
Mã chứng khoán:,BVA
Mã ISIN:,VN000000BVA8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,Số 123/2015/GCNCP-VSD do VSD cấp ngày 09/12/2015 
Tổng số chứng khoán đăng ký:,16.800.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,168.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
