Keys,Values
Tên TCPH:,"
Ngân hàng Thương mại cổ phần Bản Việt
"
Tên chứng khoán:,Trái phiếu BVB phát hành ra công chúng năm 2021-2022 (Đợt 1)
Mã chứng khoán:,BVB121034
Mã ISIN:,VNBVB1210349
Loại chứng khoán:,Trái phiếu doanh nghiệp
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,Số: 21/2022/GCNTPDN-VSD do VSD cấp lần đầu ngày 29/04/2022
Tổng số chứng khoán đăng ký:,8.191.300 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,819.130.000.000 đồng
Hình thức phát hành:,Phát hành ra công chúng theo hình thức bán lẻ
Lãi suất:,"8,5%/năm"
Cách thức trả lãi:,"Lãi được trả sau, định kỳ mỗi năm 1 lần. Gốc được trả một lần khi đến hạn hoặc ngày mua lại trước hạn theo quy định."
Kỳ hạn:,07 năm
Ngày phát hành:,30/12/2021
Ngày đáo hạn:,30/12/2028
Nơi quản lý tại VSD:,Chi nhánh
