Keys,Values
Tên TCPH:,"
Ngân hàng Chính sách Xã hội
"
Tên chứng khoán:,Trái phiếu Ngân hàng Chính sách Xã hội
Mã chứng khoán:,BVBS17081
Mã ISIN:,VNBVBS170812
Loại chứng khoán:,Trái phiếu được Chính phủ bảo lãnh
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,Số: 2/2017/GCNTP-VSD do VSD cấp lần đầu ngày 10/01/2017
Tổng số chứng khoán đăng ký:,2.500.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,250.000.000.000 đồng
Hình thức phát hành:,Đấu thầu
Lãi suất:,7.6%/năm
Cách thức trả lãi:,"Tiền gốc trái phiếu được thanh toán 01 lần khi đến hạn, tiền lãi trái phiếu được thanh toán định kỳ hàng năm vào ngày 10/01 từ năm 2018 đến năm đáo hạn"
Kỳ hạn:,15 năm
Ngày phát hành:,10/01/2017
Ngày đáo hạn:,10/01/2032
Nơi quản lý tại VSD:,Trụ sở chính
