Keys,Values
Tên TCPH:,"
Ngân hàng Phát triển Việt Nam
"
Tên chứng khoán:,Trái phiếu Ngân hàng Phát triển Việt Nam
Mã chứng khoán:,BVDB14134
Mã ISIN:,VNBVDB141349
Loại chứng khoán:,Trái phiếu được Chính phủ bảo lãnh
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,Số 74/2014/GCNTP-VSD do VSD cấp ngày 27/11/2014
Tổng số chứng khoán đăng ký:,600.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,60.000.000.000 đồng
Hình thức phát hành:,Đấu thầu
Lãi suất:,"5,8%/năm"
Cách thức trả lãi:,"Tiền lãi trái phiếu được trả sau, mỗi năm một lần vào ngày trùng với ngày phát hành trái phiếu. Lãi trái phiếu được bảo lưu, không tính nhập gốc."
Kỳ hạn:,5 năm
Ngày phát hành:,28/11/2014
Ngày đáo hạn:,28/11/2019
Nơi quản lý tại VSD:,Trụ sở chính
