Keys,Values
Tên TCPH:,"
Công ty cổ phần Group Bắc Việt
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Group Bắc Việt
Mã chứng khoán:,BVG
Mã ISIN:,VN000000BVG5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 188/2010/GCNCP-VSD do TTLKCK Việt Nam cấp lần đầu ngày 29/07/2010,  số 188/2010/GCNCP-VSD-2 cấp thay đổi lần 2 ngày 06/04/2021"
Tổng số chứng khoán đăng ký:,9.750.948 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,97.509.480.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
