Keys,Values
Tên TCPH:,"
Ủy ban nhân dân tỉnh Bà Rịa - Vũng Tàu
"
Tên chứng khoán:,Trái phiếu Chính quyền địa phương tỉnh Bà Rịa - Vũng Tàu năm 2016
Mã chứng khoán:,BVGD16497
Mã ISIN:,VNBVGD164973
Loại chứng khoán:,Trái phiếu Chính quyền địa phương
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,Số 81/2016/GCNTP-VSD do VSD cấp ngày 09/09/2016
Tổng số chứng khoán đăng ký:,5.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,500.000.000.000 đồng
Hình thức phát hành:,Đấu thầu
Lãi suất:,"6,7%/năm"
Cách thức trả lãi:,"Tiền gốc trái phiếu được thanh toán 01 lần khi đến hạn, tiền lãi trái phiếu được thanh toán định kỳ hàng năm vào ngày 09/09 từ năm 2017 đến năm đáo hạn"
Kỳ hạn:,5 năm
Ngày phát hành:,09/09/2016
Ngày đáo hạn:,09/09/2021
Nơi quản lý tại VSD:,Trụ sở chính
