Keys,Values
Tên TCPH:,"
Công ty Cổ phần CIC39
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần CIC39
Mã chứng khoán:,C32
Mã ISIN:,VN000000C325
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"số 179/2010/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 23/07/2010, số 179/2010/GCNCP-VSD-3 cấp thay đổi lần 3 ngày 28/05/2020"
Tổng số chứng khoán đăng ký:,15.030.145 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,150.301.450.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
