Keys,Values
Tên TCPH:,"
Công ty cổ phần Tập đoàn CIENCO4
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Tập đoàn CIENCO4
Mã chứng khoán:,C4G
Mã ISIN:,VN000000C4G0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 96/2018/GCNCP-VSD do VSD cấp ngày 06/11/2018; số 96/2018/GCNCP-VSD-3 cấp thay đổi lần 03 ngày 21/03/2022
Tổng số chứng khoán đăng ký:,224.718.202 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,2.247.182.020.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
