Keys,Values
Tên TCPH:,"
Công ty cổ phần Tư vấn Xây dựng Công nghiệp và Đô thị Việt Nam
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Tư vấn Xây dựng Công nghiệp và Đô thị Việt Nam
Mã chứng khoán:,CCV
Mã ISIN:,VN000000CCV2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 199/2016/GCNCP-VSD do VSD cấp lần đầu ngày 16/12/2016
Tổng số chứng khoán đăng ký:,1.800.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,18.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
