Keys,Values
Tên TCPH:,"
Công ty cổ phần Cảng Đà Nẵng
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Cảng Đà Nẵng
Mã chứng khoán:,CDN
Mã ISIN:,VN000000CDN7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 44/2015/GCNCP-VSD do VSD cấp ngày 19/06/2015, Số: 44/2015/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 24/05/2018"
Tổng số chứng khoán đăng ký:,99.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,990.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
