Keys,Values
Tên TCPH:,"
Công ty cổ phần Dịch vụ Sân bay Quốc tế Cam Ranh
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Dịch vụ Sân bay Quốc tế Cam Ranh
Mã chứng khoán:,CIA
Mã ISIN:,VN000000CIA3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"số 214/2017/GCNCP-VSD do VSD cấp ngày 15/11/2017, Số: 214/2017/GCNCP-VSD-3 cấp thay đổi lần 3 ngày 26/12/2019"
Tổng số chứng khoán đăng ký:,19.709.904 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,197.099.040.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
