Keys,Values
Tên TCPH:,"
Công ty Cổ phần Đầu tư và Xây dựng (Cotec)
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Đầu tư và Xây dựng (Cotec)
Mã chứng khoán:,CIC
Mã ISIN:,VN000000CIC9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,số 70/2006/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 25/12/2006
Tổng số chứng khoán đăng ký:,4.635.062 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,46.350.620.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
