Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư và Xây dựng Công trình 128 - CIENCO 1
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư và Xây dựng Công trình 128 - CIENCO 1
Mã chứng khoán:,CIE
Mã ISIN:,VN000000CIE5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,Số 30/2011/GCNCP-VSD do VSD cấp lần đầu ngày 09/05/2011
Tổng số chứng khoán đăng ký:,1.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,10.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
