Keys,Values
Tên TCPH:,"
Công ty cổ phần Cơ điện Miền Trung
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Cơ điện Miền Trung
Mã chứng khoán:,CJC
Mã ISIN:,VN000000CJC7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"số 22/2006/GCNCP-TTLK  do TTLKCK Việt Nam cấp lần đầu ngày 07/12/2006, số 22/2006/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 08/11/2017"
Tổng số chứng khoán đăng ký:,4.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,40.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
