Keys,Values
Tên TCPH:,"
Công ty cổ phần Xuất nhập khẩu Than - Vinacomin
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Xuất nhập khẩu Than - Vinacomin
Mã chứng khoán:,CLM
Mã ISIN:,VN000000CLM2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 45/2014/GCNCP-VSD do VSD cấp lần đầu ngày 19/06/2014, Số 45/2014/GCNCP-VSD-1 thay đổi lần 1 ngày 07/8/2015"
Tổng số chứng khoán đăng ký:,11.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,110.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
