Keys,Values
Tên TCPH:,"
Công ty cổ phần CMISTONE Việt Nam
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần CMISTONE Việt Nam
Mã chứng khoán:,CMI
Mã ISIN:,VN000000CMI8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 61/2009/GCNCP-VSD do VSD cấp lần đầu ngày 5/10/2009, Số 61/2009/GCNCP-VSD-5 cấp thay đổi lần thứ 5 ngày 01/4/2015"
Tổng số chứng khoán đăng ký:,16.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,160.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
