Keys,Values
Tên TCPH:,"
Công ty cổ phần Lương thực Thực phẩm Colusa-Miliket
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Lương thực Thực phẩm Colusa-Miliket
Mã chứng khoán:,CMN
Mã ISIN:,VN000000CMN8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 52/2017/GCNCP-VSD do VSD cấp lần đầu ngày 21/02/2017
Tổng số chứng khoán đăng ký:,4.800.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,48.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
