Keys,Values
Tên TCPH:,"
Công ty cổ phần Chứng khoán MB
"
Tên chứng quyền:,Chứng quyền CMSN01MBS21CE
Mã chứng quyền:,CMSN2103
Mã ISIN:,VN0CMSN21038
Mã chứng khoán cơ sở:,MSN
Tổ chức phát hành mã chứng khoán cơ sở:,Công ty Cổ phần Tập đoàn Masan
Loại chứng quyền:,Mua
Kiểu thực hiện:,Kiểu châu Âu
Phương thức thực hiện chứng quyền:,Bằng tiền
Thời hạn:,4 tháng
Ngày đáo hạn:,13/08/2021
Tỷ lệ chuyển đổi:,"5,9488:1"
Giá thực hiện:,87.250  đồng
Giá phát hành lần đầu:,3.000  đồng/chứng quyền
Sàn giao dịch:,HOSE
Giấy chứng nhận đăng ký chứng quyền:,số 50/2021/GCNCW-VSD do VSD cấp lần đầu ngày 27/04/2021
Số lượng chứng quyền đăng ký lần đầu tại VSD:,2.500.000 Chứng quyền
Giá trị chứng quyền đăng ký lần đầu tại VSD theo giá phát hành:,7.500.000.000 đồng
Tổng số chứng quyền đăng ký tại VSD:,2.500.000 chứng quyền
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
