Keys,Values
Tên TCPH:,"
Công ty cổ phần Tư vấn công nghệ, thiết bị và kiểm định xây dựng - CONINCO
"
Tên chứng khoán:,"Cổ phiếu Công ty cổ phần Tư vấn công nghệ, thiết bị và kiểm định xây dựng - CONINCO"
Mã chứng khoán:,CNN
Mã ISIN:,VN000000CNN6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 128/2015/GCNCP-VSD do VSD cấp ngày 25/12/2015, số 128/2015/GCNCP-VSD-2 cấp thay đổi lần 2 ngày 06/03/2018"
Tổng số chứng khoán đăng ký:,8.800.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,88.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
