Keys,Values
Tên TCPH:,"
Kho bạc Nhà nước- Bộ tài chính
"
Tên chứng khoán:,Trái phiếu Chính phủ BLPH kỳ hạn 5 năm
Mã chứng khoán:,CP071224
Mã ISIN:,VN0CP0712248
Loại chứng khoán:,Trái phiếu Chính phủ
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,
Tổng số chứng khoán đăng ký:,5.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,500.000.000.000 đồng
Hình thức phát hành:,Bảo lãnh
Lãi suất:,7.35%/năm
Cách thức trả lãi:,
Kỳ hạn:,5 năm
Ngày phát hành:,04/07/2007
Ngày đáo hạn:,04/07/2012
Nơi quản lý tại VSD:,Trụ sở chính
