Keys,Values
Tên TCPH:,"
Kho bạc Nhà nước- Bộ tài chính
"
Tên chứng khoán:,Trái phiếu Chính phủ BLPH đợt 1/2009
Mã chứng khoán:,CPB0912002
Mã ISIN:,VNTB09120023
Loại chứng khoán:,Trái phiếu Chính phủ
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,02/2009/GCNTP-TTLK cấp ngày 11/02/2009
Tổng số chứng khoán đăng ký:,10.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,1.000.000.000.000 đồng
Hình thức phát hành:,Bảo lãnh
Lãi suất:,8.05%/năm
Cách thức trả lãi:,
Kỳ hạn:,3 năm
Ngày phát hành:,14/01/2009
Ngày đáo hạn:,14/01/2012
Nơi quản lý tại VSD:,Trụ sở chính
