Keys,Values
Tên TCPH:,"
Kho bạc Nhà nước- Bộ tài chính
"
Tên chứng khoán:,Trái phiếu Chính phủ đấu thầu đợt 2/2008
Mã chứng khoán:,CPD0811008
Mã ISIN:,VNTD08110080
Loại chứng khoán:,Trái phiếu Chính phủ
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,08/2008/GCNTP-TTLK cấp ngày 12/02/2008
Tổng số chứng khoán đăng ký:,800.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,80.000.000.000 đồng
Hình thức phát hành:,Đấu thầu
Lãi suất:,7.95%/năm
Cách thức trả lãi:,
Kỳ hạn:,3 năm
Ngày phát hành:,29/01/2008
Ngày đáo hạn:,29/01/2011
Nơi quản lý tại VSD:,Trụ sở chính
