Keys,Values
Tên TCPH:,"
Công ty cổ phần Chứng khoán VnDirect
"
Tên chứng quyền:,Chứng quyền.PNJ.VND.M.CA.T.2020.01
Mã chứng quyền:,CPNJ2002
Mã ISIN:,VN0CPNJ20024
Mã chứng khoán cơ sở:,PNJ
Tổ chức phát hành mã chứng khoán cơ sở:,Công ty CP Vàng bạc Đá quý Phú Nhuận
Loại chứng quyền:,Mua
Kiểu thực hiện:,Kiểu châu Âu
Phương thức thực hiện chứng quyền:,Bằng tiền
Thời hạn:,6 tháng
Ngày đáo hạn:,01/10/2020
Tỷ lệ chuyển đổi:,2:1
Giá thực hiện:,69.000  đồng
Giá phát hành lần đầu:,2.400  đồng/chứng quyền
Sàn giao dịch:,HOSE
Giấy chứng nhận đăng ký chứng quyền:,"Số:   45/2020/GCNCW-VSD do VSD cấp ngày 20/04/2020, Số:   45/2020/GCNCW-VSD-1 cấp thay đổi lần 1 ngày 14/07/2020"
Số lượng chứng quyền đăng ký lần đầu tại VSD:,1.000.000 Chứng quyền
Giá trị chứng quyền đăng ký lần đầu tại VSD theo giá phát hành:,2.400.000.000 đồng
Tổng số chứng quyền đăng ký tại VSD:,600.000 chứng quyền
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
