Keys,Values
Tên TCPH:,"
Công ty cổ phần Create Capital Việt Nam
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Create Capital Việt Nam
Mã chứng khoán:,CRC
Mã ISIN:,VN000000CRC0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,Số 150/2017/GCNCP-VSD do VSD cấp ngày 01/08/2017; Số 150/2017/GCNCP-VSD-1 cấp thay đổi lần 01 ngày 23/11/2021
Tổng số chứng khoán đăng ký:,30.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,300.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
