Keys,Values
Tên TCPH:,"
Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh
"
Tên chứng quyền:,Chứng quyền REE-HSC-MET03
Mã chứng quyền:,CREE2005
Mã ISIN:,VN0CREE20053
Mã chứng khoán cơ sở:,REE
Tổ chức phát hành mã chứng khoán cơ sở:,CTCP Cơ điện lạnh
Loại chứng quyền:,Mua
Kiểu thực hiện:,Kiểu châu Âu
Phương thức thực hiện chứng quyền:,Bằng tiền
Thời hạn:,6 tháng
Ngày đáo hạn:,14/01/2021
Tỷ lệ chuyển đổi:,4:1
Giá thực hiện:,32.500  đồng
Giá phát hành lần đầu:,1.300  đồng/chứng quyền
Sàn giao dịch:,HOSE
Giấy chứng nhận đăng ký chứng quyền:,Số 119/2020/GCNCW-VSD do VSD cấp ngày 3/8/2020; số 119/2020/GCNCW-VSD-2 cấp thay đổi lần 02 ngày 04/12/2020
Số lượng chứng quyền đăng ký lần đầu tại VSD:,5.000.000 Chứng quyền
Giá trị chứng quyền đăng ký lần đầu tại VSD theo giá phát hành:,6.500.000.000 đồng
Tổng số chứng quyền đăng ký tại VSD:,1.500.000 chứng quyền
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
