Keys,Values
Tên TCPH:,"
Công ty cổ phần Chứng khoán Kiến thiết Việt Nam
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Chứng khoán Kiến thiết  Việt Nam
Mã chứng khoán:,CSI
Mã ISIN:,VN000000CSI5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 09 /2019/GCNCP-VSD do VSD cấp lần đầu ngày 18/02/2019
Tổng số chứng khoán đăng ký:,16.800.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,168.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
