Keys,Values
Tên TCPH:,"
Công ty Cổ phần Vinavico
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Vinavico
Mã chứng khoán:,CTA
Mã ISIN:,VN000000CTA0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 231/2010/GCNCP-VSD do TTLKCK Việt Nam cấp lần đầu ngày 24/09/2010, Số 231/2010/GCNCP-VSD-1 thay đổi lần thứ 1 ngày 15/04/2013"
Tổng số chứng khoán đăng ký:,9.654.381 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,96.543.810.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
