Keys,Values
Tên TCPH:,"
Công ty Cổ phần Chứng khoán KIS Việt Nam
"
Tên chứng quyền:,Chứng quyền.VIC.KIS.M.CA.T.11
Mã chứng quyền:,CVIC2106
Mã ISIN:,VN0CVIC21066
Mã chứng khoán cơ sở:,VIC
Tổ chức phát hành mã chứng khoán cơ sở:,Tập đoàn Vingroup – Công ty CP
Loại chứng quyền:,Mua
Kiểu thực hiện:,Kiểu châu Âu
Phương thức thực hiện chứng quyền:,Bằng tiền
Thời hạn:,7 tháng
Ngày đáo hạn:,27/04/2022
Tỷ lệ chuyển đổi:,20:1
Giá thực hiện:,98.888  đồng
Giá phát hành lần đầu:,1.000  đồng/chứng quyền
Sàn giao dịch:,HOSE
Giấy chứng nhận đăng ký chứng quyền:,Số 129/2021/GCNCW-VSD do VSD cấp lần đầu ngày 12/10/2021
Số lượng chứng quyền đăng ký lần đầu tại VSD:,5.000.000 Chứng quyền
Giá trị chứng quyền đăng ký lần đầu tại VSD theo giá phát hành:,5.000.000.000 đồng
Tổng số chứng quyền đăng ký tại VSD:,5.000.000 chứng quyền
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
