Keys,Values
Tên TCPH:,"
Công ty Cổ phần Chứng khoán KIS Việt Nam
"
Tên chứng quyền:,Chứng quyền.VRE.KIS.M.CA.T.08
Mã chứng quyền:,CVRE2010
Mã ISIN:,VN0CVRE20107
Mã chứng khoán cơ sở:,VRE
Tổ chức phát hành mã chứng khoán cơ sở:,Công ty cổ phần Vincom Retail
Loại chứng quyền:,Mua
Kiểu thực hiện:,Kiểu châu Âu
Phương thức thực hiện chứng quyền:,Bằng tiền
Thời hạn:,06 tháng
Ngày đáo hạn:,18/02/2021
Tỷ lệ chuyển đổi:,4:1
Giá thực hiện:,29.999  đồng
Giá phát hành lần đầu:,1.100  đồng/chứng quyền
Sàn giao dịch:,HOSE
Giấy chứng nhận đăng ký chứng quyền:,số 135/2020/GCNCW-VSD do VSD cấp lần đầu ngày 01/09/2020; số 135/2020/GCNCW-VSD-1 cấp thay đổi lần 01 ngày 14/12/2020
Số lượng chứng quyền đăng ký lần đầu tại VSD:,2.000.000 Chứng quyền
Giá trị chứng quyền đăng ký lần đầu tại VSD theo giá phát hành:,2.200.000.000 đồng
Tổng số chứng quyền đăng ký tại VSD:,4.000.000 chứng quyền
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
