Keys,Values
Tên TCPH:,"
Công ty cổ phần CMC
"
Tên chứng khoán:,Cổ phiếu CTCP CMC
Mã chứng khoán:,CVT
Mã ISIN:,VN000000CVT6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 79/2009/GCNCP-VSD do VSD cấp lần đầu ngày 29/10/2009, Số: 79/2009/GCNCP-VSD-6 cấp thay đổi lần 6 ngày 19/06/2018"
Tổng số chứng khoán đăng ký:,36.690.887 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,366.908.870.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
