Keys,Values
Tên TCPH:,"
Công ty cổ phần Địa ốc 11
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Địa ốc 11
Mã chứng khoán:,D11
Mã ISIN:,VN000000D117
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 307/2010/GCNCP-VSD do TTLKCK Việt Nam cấp lần đầu ngày 28/12/2010, Số 307/2010/GCNCP-VSD-3 cấp thay đổi lần 3 ngày 28/10/2016"
Tổng số chứng khoán đăng ký:,6.551.965 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,65.519.650.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
