Keys,Values
Tên TCPH:,"
Công ty cổ phần Tập đoàn Khách sạn Đông Á
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Tập đoàn Khách sạn Đông Á
Mã chứng khoán:,DAH
Mã ISIN:,VN000000DAH3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,Số: 98/2016/GCNCP-VSD do VSD cấp lần đầu ngày 14/09/2016; Số: 98/2016/GCNCP-VSD-1 cấp thay đổi lần 01 ngày 26/10/2021
Tổng số chứng khoán đăng ký:,84.200.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,842.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
