Keys,Values
Tên TCPH:,"
CTCP Đầu tư Phát triển - Xây dựng (DIC) Số 2
"
Tên chứng khoán:,Cổ phiếu CTCP Đầu tư phát triển- Xây dựng (DIC) Số 2
Mã chứng khoán:,DC2
Mã ISIN:,VN000000DC23
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,số 52/2009/GCNCP-VSD do VSD cấp lần đầu ngày 09/09/2009; số 52/2009/GCNCP-VSD-6 cấp thay đổi lần 6 ngày 29/03/2022
Tổng số chứng khoán đăng ký:,6.542.481 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,65.424.810.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
