Keys,Values
Tên TCPH:,"
CTCP Xây Dựng Công Nghiệp
"
Tên chứng khoán:,Cổ phiếu CTCP Xây dựng công nghiệp
Mã chứng khoán:,DCC
Mã ISIN:,VN000000DCC0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,"Số 108/2007/GCNCP-CNTTLK do TTLKCK Việt Nam cấp lần đầu ngày 26/11/2007, Số 108/2007/GCNCP-VSD-2 cấp thay đổi lần 2 ngày 19/10/2016"
Tổng số chứng khoán đăng ký:,35.600.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,356.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
