Keys,Values
Tên TCPH:,"
Công ty Cổ phần Tập đoàn Đại Châu
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Tập đoàn Đại Châu
Mã chứng khoán:,DCS
Mã ISIN:,VN000000DCS6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 20/2007/GCNCP-TTLK do VSD cấp lần đầu ngày 10/12/2007, Số 20/2007/GCNCP-VSD-9 cấp thay đổi lần thứ 9 ngày 16/12/2014"
Tổng số chứng khoán đăng ký:,60.310.988 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,603.109.880.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
