Keys,Values
Tên TCPH:,"
Công ty cổ phần DAP – VINACHEM
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần DAP – VINACHEM
Mã chứng khoán:,DDV
Mã ISIN:,VN000000DDV8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 31/2015/GCNCP-VSD do VSD cấp ngày 22/05/2015 




                            
"
Tổng số chứng khoán đăng ký:,146.109.900 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,1.461.099.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
