Keys,Values
Tên TCPH:,"
Công ty Cổ phần dược Hậu Giang
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần dược Hậu Giang
Mã chứng khoán:,DHG
Mã ISIN:,VN000000DHG0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 69/2006/GCNCP-VSD-8 do VSD cấp lần đầu ngày 18/12/2006, Số 69/2006/GCNCP-VSD-9 cấp thay đổi lần 9 ngày 20/06/2017"
Tổng số chứng khoán đăng ký:,130.746.071 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,1.307.460.710.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
