Keys,Values
Tên TCPH:,"
Công ty Cổ phần Đầu tư và Thương mại DIC
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Đầu tư và Thương mại DIC
Mã chứng khoán:,DIC
Mã ISIN:,VN000000DIC7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 60/2006/GCNCP-CNTTLK do TTLKCK Việt Nam cấp lần đầu ngày 22/12/2006, Số 60/2006/GCNCP-CNVSD-11 cấp thay đổi lần 11 ngày 2/11/2015"
Tổng số chứng khoán đăng ký:,26.585.840 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,265.858.400.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
