Keys,Values
Tên TCPH:,"
Công ty Cổ phần DIC - Đồng Tiến
"
Tên chứng khoán:,Cổ phiếu CTCP DIC - Đồng Tiến
Mã chứng khoán:,DID
Mã ISIN:,VN000000DID5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 100/2009/GCNCP-VSD do TTLKCK Việt Nam cấp lần đầu ngày 04/12/2009, số 100/2009/GCNCP-VSD-3 cấp thay đổi lần 3 ngày 17/06/2020"
Tổng số chứng khoán đăng ký:,13.900.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,139.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
