Keys,Values
Tên TCPH:,"
CTCP Tập đoàn Đức Long Gia Lai
"
Tên chứng khoán:,Cổ phiếu CTCP Tập đoàn Đức Long Gia Lai
Mã chứng khoán:,DLG
Mã ISIN:,VN000000DLG2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 132/2010/GCNCP-VSD do VSD cấp lần đầu ngày 11/06/2010, số 132/2010/GCNCP-VSD-10 cấp thay đổi lần thứ 10 ngày 05/11/2018"
Tổng số chứng khoán đăng ký:,299.309.720 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,2.993.097.200.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
