Keys,Values
Tên TCPH:,"
Công ty cổ phần Chiếu sáng công cộng Đà Nẵng
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Chiếu sáng công cộng Đà Nẵng
Mã chứng khoán:,DLM
Mã ISIN:,VN000000DLM0
Loại chứng khoán:,Cổ phần phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số: 05/CPH/2020/GCNCP-VSD do VSD cấp ngày 17/06/2020; Số: 44/2021/GCNCP-VSD cấp lại ngày 02/11/2021
Tổng số chứng khoán đăng ký:,1.657.500 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,16.575.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
