Keys,Values
Tên TCPH:,"
Công ty cổ phần Điện nước lắp máy Hải Phòng
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Điện nước lắp máy Hải Phòng
Mã chứng khoán:,DNC
Mã ISIN:,VN000000DNC7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,Số 96/2009/GCNCP-VSD do VSD cấp lần đầu ngày 23/11/2009. Số 96/2009/GCNCP-VSD-5 cấp thay đổi lần thứ 5 ngày 01/09/2020
Tổng số chứng khoán đăng ký:,5.137.850 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,51.378.500.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
